day,lab_test,confirmed_case,death_case,first_dose,second_dose
4/4/2020,434,9,2,0,0
5/4/2020,367,18,1,0,0
6/4/2020,468,35,3,0,0
7/4/2020,679,41,5,0,0
8/4/2020,981,54,3,0,0
9/4/2020,905,112,1,0,0
10/4/2020,1184,94,6,0,0
11/4/2020,954,58,3,0,0
12/4/2020,1340,139,4,0,0
13-04-2020,1570,182,5,0,0
14-04-2020,1905,209,7,0,0
15-04-2020,1740,219,4,0,0
16-04-2020,2019,341,10,0,0
17-04-2020,2190,266,15,0,0
18-04-2020,2114,306,9,0,0
19-04-2020,2634,312,7,0,0
20-04-2020,2779,492,10,0,0
21-04-2020,2974,434,9,0,0
22-04-2020,3096,390,10,0,0
23-04-2020,3416,414,7,0,0
24-04-2020,3686,503,4,0,0
25-04-2020,3337,309,9,0,0
26-04-2020,3476,418,5,0,0
27-04-2020,3812,497,7,0,0
28-04-2020,4332,549,3,0,0
29-04-2020,4968,641,8,0,0
30-04-2020,4965,564,5,0,0
1/5/2020,5573,571,2,0,0
2/5/2020,5827,552,5,0,0
3/5/2020,5368,665,2,0,0
4/5/2020,6260,688,5,0,0
5/5/2020,5711,786,1,0,0
6/5/2020,6241,790,3,0,0
7/5/2020,5867,706,13,0,0
8/5/2020,5941,709,7,0,0
9/5/2020,5465,636,8,0,0
10/5/2020,5638,887,14,0,0
11/5/2020,7208,1034,11,0,0
12/5/2020,6773,969,11,0,0
13-05-2020,7900,1162,19,0,0
14-05-2020,7392,1041,14,0,0
15-05-2020,8582,1202,15,0,0
16-05-2020,6782,930,16,0,0
17-05-2020,8184,1273,14,0,0
18-05-2020,9788,1602,21,0,0
19-05-2020,8449,1251,21,0,0
20-05-2020,10207,1617,16,0,0
21-05-2020,10262,1773,22,0,0
22-05-2020,9727,1694,24,0,0
23-05-2020,10834,1873,20,0,0
24-05-2020,8908,1532,28,0,0
25-05-2020,9451,1975,21,0,0
26-05-2020,5407,1166,21,0,0
27-05-2020,8015,1541,22,0,0
28-05-2020,9310,2029,15,0,0
29-05-2020,11301,2523,23,0,0
30-05-2020,9987,1764,28,0,0
31-05-2020,11876,2545,40,0,0
1/6/2020,11439,2381,22,0,0
2/6/2020,12704,2911,37,0,0
3/6/2020,12510,2695,37,0,0
4/6/2020,12694,2423,35,0,0
5/6/2020,14088,2828,30,0,0
6/6/2020,12486,2635,35,0,0
7/6/2020,13136,2743,42,0,0
8/6/2020,12944,2735,42,0,0
9/6/2020,14668,3171,45,0,0
10/6/2020,15965,3190,37,0,0
11/6/2020,15772,3187,37,0,0
12/6/2020,15990,3471,46,0,0
13-06-2020,16638,2856,44,0,0
14-06-2020,14505,3141,32,0,0
15-06-2020,15038,3099,38,0,0
16-06-2020,17214,3862,53,0,0
17-06-2020,17527,4008,43,0,0
18-06-2020,16259,3803,38,0,0
19-06-2020,15045,3243,45,0,0
20-06-2020,14031,3240,37,0,0
21-06-2020,15585,3531,39,0,0
22-06-2020,15555,3480,38,0,0
23-06-2020,16292,3412,43,0,0
24-06-2020,16433,3462,37,0,0
25-06-2020,17999,3946,39,0,0
26-06-2020,18498,3868,40,0,0
27-06-2020,15157,3504,34,0,0
28-06-2020,18099,3809,43,0,0
29-06-2020,17837,4014,45,0,0
30-06-2020,18426,3682,64,0,0
1/7/2020,17875,3775,41,0,0
2/7/2020,18362,4019,38,0,0
3/7/2020,14650,3114,42,0,0
4/7/2020,14727,3288,29,0,0
